"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"515";"90100";"CR09   ";"   82220";"    2690";"    32.5";"    1070";"    28.5";"     840";"    22.5";"     460";"    12.5";"    2690";"     630";"    16.5";"    2190";"    81.5";"    81.5";"    1220";"    15.0"
"516";"90100";"CR10   ";"  237480";"    7460";"    31.5";"    2370";"    25.0";"    2010";"    21.0";"    1140";"    12.0";"    2920";"    1200";"    27.0";"    2190";"    29.5";"    75.0";"    2070";"     8.5"
"517";"90100";"CR11   ";"  100740";"    3910";"    39.0";"    1230";"    25.0";"     950";"    19.0";"     480";"     9.5";"    2040";"     380";"    10.0";"    1600";"    41.0";"    78.0";"    1140";"    11.5"
"518";"90100";"CR12   ";"  404950";"   18080";"    44.5";"    5480";"    24.0";"    4590";"    20.0";"    2370";"    10.5";"    7430";"    1720";"    17.0";"    5880";"    32.5";"    79.0";"    4300";"    10.5"
"519";"90100";"CR13   ";"  434670";"   11600";"    26.5";"    4210";"    28.0";"    3260";"    22.0";"    1630";"    11.0";"    6940";"    1940";"    15.5";"    5370";"    46.5";"    77.5";"    3170";"     7.5"
"520";"90100";"CR14   ";"  252210";"    7600";"    30.0";"    2490";"    25.5";"    1970";"    20.0";"    1020";"    10.5";"    4620";"    1210";"    17.5";"    3470";"    45.5";"    75.0";"    3020";"    12.0"
"521";"90100";"CR15   ";"  488410";"   24160";"    49.5";"    7160";"    24.0";"    5310";"    18.0";"    2810";"     9.5";"    4800";"    1370";"    17.0";"    3330";"    14.0";"    69.5";"    4640";"     9.5"
"522";"90100";"CR16   ";"  156320";"    4130";"    26.5";"    1260";"    24.0";"    1030";"    19.5";"     580";"    11.0";"    1400";"     260";"    13.5";"    1080";"    26.0";"    77.0";"    1210";"     7.5"
"523";"90100";"CR17   ";"  855570";"   27400";"    32.0";"    8420";"    24.5";"    6870";"    20.0";"    3510";"    10.0";"    8820";"    2620";"    17.5";"    6630";"    24.0";"    75.0";"    3930";"     4.5"
"524";"90100";"CR18   ";"  239670";"    6850";"    28.5";"    2160";"    24.5";"    1700";"    19.5";"     980";"    11.0";"    2690";"     860";"    22.5";"    2080";"    30.5";"    77.5";"    1450";"     6.0"
"525";"90100";"CR19   ";"  155950";"    4500";"    29.0";"    1510";"    26.5";"    1120";"    19.5";"     620";"    11.0";"    1570";"     700";"    24.5";"    1160";"    25.5";"    73.5";"     890";"     5.5"
"526";"90100";"CR20   ";"  127030";"    4010";"    31.5";"    1220";"    24.0";"    1070";"    21.0";"     530";"    10.5";"    1790";"     430";"    15.0";"    1470";"    36.5";"    82.0";"     710";"     5.5"
"527";"90100";"CR21   ";"  148660";"    4820";"    32.5";"    1300";"    22.0";"    1000";"    17.0";"     500";"     8.5";"     630";"     150";"     9.0";"     480";"    10.0";"    76.5";"     830";"     5.5"
"528";"90100";"CR22   ";"  111410";"    4670";"    42.0";"    1310";"    22.0";"    1170";"    20.0";"     590";"    10.0";"    1280";"     520";"    23.5";"     930";"    20.0";"    72.5";"     480";"     4.5"
"529";"90100";"CR23   ";"  946450";"   49470";"    52.5";"   13150";"    21.5";"   11020";"    18.0";"    5780";"     9.5";"   22900";"    4760";"    13.5";"   14750";"    30.0";"    64.5";"    4440";"     4.5"
"530";"90100";"CR24   ";"  156310";"    4900";"    31.5";"    1380";"    23.0";"    1100";"    18.0";"     580";"     9.5";"    2100";"     560";"    18.0";"    1690";"    34.5";"    80.5";"     630";"     4.0"
"531";"90100";"CR25   ";"  279820";"    7550";"    27.0";"    2430";"    25.5";"    1890";"    19.5";"     950";"    10.0";"    2410";"     940";"    22.5";"    1800";"    24.0";"    74.5";"    1810";"     6.5"
"532";"90100";"CR26   ";"  571900";"   35690";"    62.5";"   10000";"    22.5";"    8450";"    19.0";"    4350";"     9.5";"   15160";"    3600";"    13.5";"   11750";"    33.0";"    77.5";"    2660";"     4.5"
"533";"90100";"CR27   ";"  154880";"    4890";"    31.5";"    1490";"    24.0";"    1330";"    21.5";"     670";"    11.0";"    1680";"     610";"    18.5";"    1330";"    27.5";"    79.5";"     890";"     5.5"
"534";"90100";"CR28   ";"  209420";"    5610";"    27.0";"    1970";"    28.0";"    1490";"    21.0";"     810";"    11.5";"    1730";"     590";"    20.0";"    1210";"    21.5";"    70.0";"    1440";"     7.0"
"535";"90100";"CR29   ";"  946430";"   59210";"    62.5";"   15780";"    21.5";"   13780";"    18.5";"    6900";"     9.5";"   15290";"    4810";"    17.0";"   12080";"    20.5";"    79.0";"    4940";"     5.0"
"536";"90100";"CR30   ";"  258130";"    9520";"    37.0";"    3160";"    26.0";"    2500";"    20.5";"    1290";"    10.5";"    2770";"     720";"    17.5";"    1950";"    20.5";"    70.5";"    1820";"     7.0"
"537";"90100";"CR31   ";"   65620";"    1890";"    29.0";"     700";"    27.5";"     560";"    22.5";"     290";"    11.5";"    1310";"     360";"    21.5";"     980";"    51.5";"    75.0";"     740";"    11.0"
"538";"90100";"CR32   ";"  172740";"    6250";"    36.0";"    2040";"    25.5";"    1600";"    20.0";"     860";"    11.0";"    1910";"     550";"    19.5";"    1460";"    23.5";"    76.5";"    1570";"     9.0"
"539";"90100";"CR33   ";"  409880";"   14030";"    34.0";"    4200";"    24.0";"    3280";"    18.5";"    1650";"     9.5";"    4690";"    1410";"    16.5";"    3630";"    26.0";"    77.5";"    4120";"    10.0"
"540";"90100";"CR34   ";"  312020";"   11360";"    36.5";"    3600";"    24.0";"    3370";"    22.5";"    1740";"    11.5";"    3530";"    1190";"    23.5";"    2480";"    22.0";"    70.0";"    2720";"     8.5"
"541";"90100";"CR35   ";"  425360";"   11280";"    26.5";"    3980";"    27.0";"    3160";"    21.5";"    1740";"    12.0";"    4990";"    1380";"    17.0";"    3610";"    32.0";"    72.5";"    5490";"    13.0"
"542";"90100";"CR36   ";"  501480";"   16660";"    33.0";"    4960";"    24.0";"    3880";"    18.5";"    2060";"    10.0";"    3510";"    1470";"    17.0";"    2520";"    15.0";"    72.0";"    4960";"    10.0"
