"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"1213","90200","GM1621 ","    8590","      60","     6.5","      10","    15.5","      20","    29.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1214","90200","GM0417 ","    3320","      20","     4.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1215","90200","GM0022 ","    4050","      20","     4.0","       0","       .","      10","    42.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1216","90200","GM0545 ","    3990","      50","    11.5","      10","    20.0","      20","    28.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1217","90200","GM0080 ","   18150","     290","    16.0","      30","     9.5","      60","    19.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1218","90200","GM0081 ","    2190","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1219","90200","GM0546 ","   17450","     400","    23.0","      50","    12.5","      70","    15.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1220","90200","GM0547 ","    5740","      60","     9.5","      10","    11.5","      10","     8.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1221","90200","GM1916 ","   16360","     310","    19.0","      30","     9.5","      40","    11.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1222","90200","GM0995 ","   12270","     360","    29.0","      40","    10.5","      50","    14.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1223","90200","GM1640 ","    8000","      30","     3.5","      10","    27.5","      10","    31.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1224","90200","GM0327 ","    5870","      40","     7.0","       0","       .","      10","    11.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1225","90200","GM0733 ","    2020","      10","     5.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1226","90200","GM1705 ","    8930","      40","     5.0","      10","    19.0","      10","    27.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1227","90200","GM0553 ","    4770","      30","     6.0","       0","       .","      10","    28.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1228","90200","GM0140 ","    1950","       0","       .","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1229","90200","GM0262 ","    8750","      40","     4.0","      10","    14.5","      10","    12.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1230","90200","GM0809 ","    4810","      30","     7.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1231","90200","GM0331 ","    2230","      20","     6.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1232","90200","GM0024 ","    1980","      10","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1233","90200","GM0168 ","    4830","      40","     7.5","      10","    18.0","      10","    18.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1234","90200","GM0263 ","    4290","      20","     4.5","       0","       .","      10","    27.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1235","90200","GM1641 ","    5750","      30","     5.5","      10","    13.0","      10","    29.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1236","90200","GM0556 ","    7050","     140","    20.0","      20","    12.5","      20","    13.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1237","90200","GM0935 ","   24260","     420","    17.0","      50","    12.0","      90","    20.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1238","90200","GM1663 ","    2270","      10","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1239","90200","GM0025 ","    1820","       0","       .","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1240","90200","GM0420 ","    8450","      50","     5.5","      10","    18.5","      10","    10.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1241","90200","GM0938 ","    4720","      20","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1242","90200","GM1948 ","   15120","     140","     9.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1243","90200","GM1908 ","    2670","      10","     2.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1244","90200","GM1987 ","    2310","      20","     9.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1245","90200","GM0119 ","    6140","      50","     9.0","      10","    12.5","      20","    27.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1246","90200","GM0687 ","   10000","     120","    12.0","      10","     9.0","      30","    23.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1247","90200","GM1842 ","    3270","      10","     4.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1248","90200","GM1731 ","    7180","      30","     4.5","      10","    15.0","      20","    40.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1249","90200","GM0815 ","    2170","      10","     3.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1250","90200","GM1709 ","    7480","      40","     5.0","      10","    13.0","      10","    13.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1251","90200","GM1927 ","    4860","      10","     2.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1252","90200","GM1955 ","    7720","      50","     7.0","      10","    10.0","      10","    18.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1253","90200","GM0335 ","    2490","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1254","90200","GM0944 ","    1950","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1255","90200","GM1740 ","    3730","      10","     4.0","       0","       .","      10","    50.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1256","90200","GM0946 ","    3610","      10","     1.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1257","90200","GM0304 ","    2010","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1258","90200","GM0356 ","   11450","     170","    14.5","      20","    10.5","      20","    12.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1259","90200","GM0569 ","    5330","      20","     3.5","       0","       .","      10","    24.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1260","90200","GM0267 ","    7420","      70","     9.0","      10","    12.5","      10","    15.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1261","90200","GM0268 ","   25610","     790","    31.0","     100","    11.5","     150","    18.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1262","90200","GM1930 ","   15380","     270","    17.5","      30","    11.0","      50","    18.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1263","90200","GM1695 ","    1910","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1264","90200","GM1699 ","    7890","      30","     3.5","       0","       .","      10","    29.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1265","90200","GM0171 ","    7520","      80","    10.0","      10","    14.5","      20","    20.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1266","90200","GM0575 ","    5380","      30","     6.0","      10","    14.5","      10","    14.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1267","90200","GM0576 ","    3240","      20","     5.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1268","90200","GM0820 ","    5560","      30","     4.5","       0","       .","      10","    19.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1269","90200","GM0302 ","    5140","      20","     3.5","       0","       .","      10","    26.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1270","90200","GM0951 ","    3860","      20","     4.5","      10","    30.0","      10","    40.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1271","90200","GM0579 ","    4670","      30","     7.5","      10","    18.0","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1272","90200","GM0823 ","    3650","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1273","90200","GM0824 ","    5850","      30","     5.0","       0","       .","      10","    22.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1274","90200","GM1895 ","    8660","      70","     7.5","      10","    17.0","      20","    29.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1275","90200","GM0269 ","    4030","      10","     1.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1276","90200","GM0173 ","    6780","     100","    14.0","      10","    11.5","      20","    17.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1277","90200","GM1773 ","    3580","      10","     1.5","       0","       .","      10","    66.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
